"Gene"	"GC_content"	"Mean_transcript_length"
"1"	"0610005C13Rik"	51.19	865.818181818182
"2"	"0610006L08Rik"	41.46	1196
"3"	"0610009B22Rik"	43.02	852.5
"4"	"0610009E02Rik"	48.3	915
"5"	"0610009L18Rik"	61.36	619
"6"	"0610010F05Rik"	39.96	2672.75
"7"	"0610010K14Rik"	54.49	662.846153846154
"8"	"0610012D04Rik"	50.72	531
"9"	"0610012G03Rik"	54.53	1445
"10"	"0610025J13Rik"	44.31	690.666666666667
"11"	"0610030E20Rik"	48.01	2914
"12"	"0610031O16Rik"	43.3	836.75
"13"	"0610033M10Rik"	49.36	804
"14"	"0610038B21Rik"	49	1605.5
"15"	"0610039K10Rik"	58.4	951.5
"16"	"0610040B10Rik"	45.32	914.666666666667
"17"	"0610040F04Rik"	43.15	1139
"18"	"0610040J01Rik"	44.11	1060.25
"19"	"0610043K17Rik"	45.27	493
"20"	"0710001A04Rik"	47.17	1345
"21"	"1010001B22Rik"	49.66	589
"22"	"1010001N08Rik"	44.19	1029.5
"23"	"1100001I12Rik"	43.59	672
"24"	"1110002E22Rik"	47.34	5103
"25"	"1110002J07Rik"	47.48	1308.5
"26"	"1110002L01Rik"	44.74	1756.5
"27"	"1110002O04Rik"	48.31	566
"28"	"1110003F10Rik"	41.85	767
"29"	"1110004F10Rik"	38.94	1103.83333333333
"30"	"1110006O24Rik"	59.38	768
"31"	"1110008E08Rik"	52.14	722
"32"	"1110008P14Rik"	55.53	1649
"33"	"1110012L19Rik"	46.96	1094
"34"	"1110013H19Rik"	50.22	671
"35"	"1110015O18Rik"	34.16	857.333333333333
"36"	"1110017D15Rik"	47.44	695.625
"37"	"1110018N20Rik"	58.12	986
"38"	"1110019B22Rik"	48.87	762
"39"	"1110019D14Rik"	37.87	951
"40"	"1110020A21Rik"	44.34	626
"41"	"1110025L11Rik"	46.7	591
"42"	"1110025M09Rik"	41.99	855
"43"	"1110028F11Rik"	46.09	610
"44"	"1110028F18Rik"	45.26	1341
"45"	"1110032A03Rik"	44.13	1056.11111111111
"46"	"1110032F04Rik"	52.99	2578
"47"	"1110035H17Rik"	59.15	1236
"48"	"1110038B12Rik"	49.15	665.625
"49"	"1110038F14Rik"	50.65	1232.75
"50"	"1110046J04Rik"	42.17	1316.66666666667
"51"	"1110051M20Rik"	43.4	1135.25
"52"	"1110057P08Rik"	40.86	465
"53"	"1110059E24Rik"	42.03	697.666666666667
"54"	"1110059G10Rik"	41.2	2211.33333333333
"55"	"1110060G06Rik"	38.08	499
"56"	"1110065P20Rik"	61.64	937.333333333333
"57"	"1190001M18Rik"	44.41	1270
"58"	"1190005I06Rik"	52.12	628.333333333333
"59"	"1190007I07Rik"	46.54	562.8
"60"	"1190028D05Rik"	35.86	763
"61"	"1200007C13Rik"	52.23	2455
"62"	"1300002E11Rik"	42.23	1174.875
"63"	"1300014J16Rik"	51.31	1337
"64"	"1300017J02Rik"	45.81	1453
"65"	"1500002C15Rik"	51.44	2131.5
"66"	"1500002F19Rik"	43.96	562
"67"	"1500004A13Rik"	44.24	2108.33333333333
"68"	"1500005C15Rik"	45.86	2394
"69"	"1500009C09Rik"	51.82	1539
"70"	"1500009L16Rik"	45.94	1339.66666666667
"71"	"1500011B03Rik"	49.34	744.6
"72"	"1500012K07Rik"	42.55	1238.33333333333
"73"	"1500015A07Rik"	45.99	1059.33333333333
"74"	"1500015L24Rik"	38.14	1102.47058823529
"75"	"1500026H17Rik"	42.78	3027
"76"	"1500032F14Rik"	46.98	460
"77"	"1500035N22Rik"	50.25	865
"78"	"1520401A03Rik"	52.21	2536.2
"79"	"1600002D24Rik"	46.42	915.75
"80"	"1600002K03Rik"	51.84	678
"81"	"1600010M07Rik"	42.06	698.75
"82"	"1600012H06Rik"	40.06	1816.75
"83"	"1600012P17Rik"	43.12	1503.5
"84"	"1600014C10Rik"	49.3	1960.88888888889
"85"	"1600014C23Rik"	56.68	518
"86"	"1600017P15Rik"	62.77	651
"87"	"1600019K03Rik"	43.98	477
"88"	"1600020E01Rik"	44.62	1088.625
"89"	"1600022D10Rik"	41.28	1562
"90"	"1600023N17Rik"	49.65	1007
"91"	"1600025M17Rik"	40.79	606.5
"92"	"1600027J07Rik"	44.27	489
"93"	"1600029O15Rik"	49.53	1163
"94"	"1700001C02Rik"	49.72	704.25
"95"	"1700001C19Rik"	48.57	895.25
"96"	"1700001D01Rik"	46.5	565
"97"	"1700001F09Rik"	41.61	884
"98"	"1700001G01Rik"	37.15	887.5
"99"	"1700001G11Rik"	50.84	732
"100"	"1700001G17Rik"	57.59	879.5
"101"	"1700001J03Rik"	50.03	638.5
"102"	"1700001J04Rik"	52.95	633.5
"103"	"1700001J11Rik"	46.47	1611
"104"	"1700001K19Rik"	49.12	670
"105"	"1700001K23Rik"	49.94	588.8
"106"	"1700001L05Rik"	45.31	2236.5
"107"	"1700001L19Rik"	46.08	1303
"108"	"1700001N15Rik"	37.57	482
"109"	"1700001O22Rik"	53.81	878.846153846154
"110"	"1700001P01Rik"	46.51	624
"111"	"1700003C15Rik"	37.47	967
"112"	"1700003D09Rik"	54.14	1389
"113"	"1700003E16Rik"	49.88	2045
"114"	"1700003E24Rik"	45.83	577
"115"	"1700003F12Rik"	54.27	693.5
"116"	"1700003G18Rik"	38.71	716
"117"	"1700003H04Rik"	39.16	729.666666666667
"118"	"1700003I16Rik"	40.01	1058
"119"	"1700003I22Rik"	40.95	397.5
"120"	"1700003L19Rik"	42.17	660
"121"	"1700003M07Rik"	50.49	552.5
"122"	"1700003N22Rik"	60.15	808
"123"	"1700003O11Rik"	48.06	582
"124"	"1700003P14Rik"	36.38	975.666666666667
"125"	"1700006A11Rik"	37.93	1929.5
"126"	"1700006F04Rik"	42.91	441
"127"	"1700006H21Rik"	46.45	543.5
"128"	"1700006J14Rik"	44.41	1209.25
"129"	"1700006P03Rik"	43.52	409
"130"	"1700007E05Rik"	43.61	1506
"131"	"1700007F19Rik"	43.55	1642
"132"	"1700007H22Rik"	38.89	537
"133"	"1700007J10Rik"	49.28	895
"134"	"1700007K13Rik"	50.55	641
"135"	"1700007L15Rik"	52.06	701
"136"	"1700007M16Rik"	39.49	435
"137"	"1700007P06Rik"	45.6	823
"138"	"1700008A23Rik"	51.09	691
"139"	"1700008B11Rik"	55.21	634
"140"	"1700008C04Rik"	41.6	797
"141"	"1700008H02Rik"	38.84	1684
"142"	"1700008J07Rik"	51.23	2432
"143"	"1700008K24Rik"	51.22	775
"144"	"1700008N11Rik"	43.69	636
"145"	"1700008O03Rik"	49	1072
"146"	"1700008P02Rik"	35	783
"147"	"1700009C05Rik"	42.73	788
"148"	"1700009J07Rik"	52.56	972
"149"	"1700009N14Rik"	47.37	1258
"150"	"1700010B08Rik"	48.49	899
"151"	"1700010B13Rik"	48.14	1639
"152"	"1700010D01Rik"	46.32	507
"153"	"1700010G06Rik"	48.29	683
"154"	"1700010H22Rik"	39.71	762
"155"	"1700010I02Rik"	36.81	434
"156"	"1700010I14Rik"	46.02	1762.6
"157"	"1700010J16Rik"	37.45	666
"158"	"1700010K23Rik"	32.97	376
"159"	"1700010K24Rik"	42.58	226
"160"	"1700010L04Rik"	43.85	710.333333333333
"161"	"1700010N08Rik"	41.41	756
"162"	"1700011B04Rik"	42.65	879.583333333333
"163"	"1700011C11Rik"	41.01	365
"164"	"1700011D18Rik"	50.9	277
"165"	"1700011L03Rik"	49.63	608
"166"	"1700011L22Rik"	42.63	713.5
"167"	"1700011M02Rik"	54.08	420
"168"	"1700012A03Rik"	45.27	672
"169"	"1700012B07Rik"	45.14	1178.66666666667
"170"	"1700012B09Rik"	46.07	501.6
"171"	"1700012C08Rik"	51.45	363
"172"	"1700012C14Rik"	53.99	461.5
"173"	"1700012D14Rik"	38.81	1303.75
"174"	"1700012D16Rik"	46.69	577
"175"	"1700012E03Rik"	48.81	1377
"176"	"1700012I11Rik"	42.49	1039
"177"	"1700012J15Rik"	42.92	471
"178"	"1700012J22Rik"	48.07	830
"179"	"1700012P22Rik"	42.27	974
"180"	"1700013A02Rik"	42.95	645
"181"	"1700013D24Rik"	41.91	513
"182"	"1700013F07Rik"	45.26	628.333333333333
"183"	"1700013G24Rik"	54.59	1048
"184"	"1700013H16Rik"	41.89	1224
"185"	"1700013M08Rik"	44.66	740.5
"186"	"1700013N06Rik"	45.97	663
"187"	"1700014D04Rik"	50.33	1464
"188"	"1700014F14Rik"	38.14	197
"189"	"1700014L14Rik"	42.68	481
"190"	"1700015C15Rik"	43.13	374
"191"	"1700015C17Rik"	43.33	239
"192"	"1700015F17Rik"	39.8	683.666666666667
"193"	"1700015G11Rik"	38.06	330.75
"194"	"1700015H07Rik"	38.3	560
"195"	"1700015I17Rik"	42.28	2099
"196"	"1700015O11Rik"	51.07	678
"197"	"1700016A09Rik"	67.78	835
"198"	"1700016B01Rik"	50.58	270
"199"	"1700016B15Rik"	55.53	733
"200"	"1700016C15Rik"	43.86	768
"201"	"1700016D06Rik"	46.81	661
"202"	"1700016D08Rik"	59.51	352
"203"	"1700016F12Rik"	42.31	655
"204"	"1700016G22Rik"	43.37	559
"205"	"1700016H03Rik"	50.8	437
"206"	"1700016H13Rik"	43.62	880.714285714286
"207"	"1700016J18Rik"	57.98	249
"208"	"1700016K05Rik"	42.79	386
"209"	"1700016K19Rik"	49.54	921
"210"	"1700016L21Rik"	39.07	511.5
"211"	"1700016P03Rik"	51.42	863
"212"	"1700016P04Rik"	37.56	429
"213"	"1700017B05Rik"	55.56	1766
"214"	"1700017G19Rik"	43.28	1575.5
"215"	"1700017I07Rik"	46.45	462
"216"	"1700017J07Rik"	47.1	473
"217"	"1700017L05Rik"	45.84	558
"218"	"1700017M07Rik"	43.51	940
"219"	"1700017N19Rik"	39.05	1419.1
"220"	"1700018A04Rik"	44.86	1381.2
"221"	"1700018A14Rik"	60.2	711
"222"	"1700018A23Rik"	49.8	398
"223"	"1700018B08Rik"	51.3	919.5
