"Gene"	"GC_content"	"Mean_transcript_length"
"1"	"A1BG"	55.8	1841.8
"2"	"A1BG-AS1"	55.93	1376.88888888889
"3"	"A1CF"	36.24	4924.44444444444
"4"	"A2M"	37.18	941.083333333333
"5"	"A2M-AS1"	46.3	2357.5
"6"	"A2ML1"	44.23	1749
"7"	"A2ML1-AS1"	44.16	452
"8"	"A2ML1-AS2"	48.89	386
"9"	"A2MP1"	37.03	1715
"10"	"A3GALT2"	54.19	1023
"11"	"A4GALT"	52.39	1419.42857142857
"12"	"A4GNT"	42.68	1779
"13"	"AAAS"	49.39	1580.59090909091
"14"	"AACS"	51.2	2148.16666666667
"15"	"AACSP1"	48.81	1958.5
"16"	"AADAC"	35.3	1141
"17"	"AADACL2"	35.365	3600.5
"18"	"AADACL2-AS1"	36.27	334.5
"19"	"AADACL3"	46.11	3943.5
"20"	"AADACL4"	47.24	1575
"21"	"AADACP1"	33.97	729.333333333333
"22"	"AADAT"	38.78	1457.125
"23"	"AAGAB"	39.47	1439.57142857143
"24"	"AAK1"	41.95	3395.92307692308
"25"	"AAMDC"	41.82	568
"26"	"AAMP"	56.53	1368.4
"27"	"AANAT"	53.01	1048
"28"	"AAR2"	47.41	2190.66666666667
"29"	"AARD"	43.16	1395.5
"30"	"AARS1"	49.47	1064
"31"	"AARS1P1"	49.89	453
"32"	"AARS2"	54.43	2766.5
"33"	"AARSD1"	48.21	675.684210526316
"34"	"AASDH"	38.98	2456
"35"	"AASDHPPT"	36.56	2072.2
"36"	"AASS"	36.4	2853.57142857143
"37"	"AATBC"	60.18	2473
"38"	"AATF"	40.5	871.055555555556
"39"	"AATK"	61.51	2661
"40"	"ABALON"	56.54	1903
"41"	"ABAT"	47.34	1727.26666666667
"42"	"ABCA1"	43.42	3419.5
"43"	"ABCA10"	36.13	2501.25
"44"	"ABCA11P"	39.69	1712.75
"45"	"ABCA12"	37.18	5596
"46"	"ABCA13"	38.84	6049.25
"47"	"ABCA17P"	43.85	1586.14285714286
"48"	"ABCA2"	66.66	3158.73913043478
"49"	"ABCA3"	53.03	3339
"50"	"ABCA4"	46.44	2149.5
"51"	"ABCA5"	34.61	2533.64285714286
"52"	"ABCA6"	36.3	2821.71428571429
"53"	"ABCA7"	60.53	1804.38888888889
"54"	"ABCA8"	36.81	2437.33333333333
"55"	"ABCA9"	37.68	2257.375
"56"	"ABCA9-AS1"	37.94	572.714285714286
"57"	"ABCB1"	37.02	1890.18181818182
"58"	"ABCB10"	43.63	1786
"59"	"ABCB10P1"	56.3	2181
"60"	"ABCB10P3"	56.205	2164.5
"61"	"ABCB10P4"	56.2233333333333	2183
"62"	"ABCB11"	37.6075	2217.625
"63"	"ABCB4"	38.6	2290
"64"	"ABCB5"	37.73	2554
"65"	"ABCB6"	54.45	1240.69230769231
"66"	"ABCB7"	36	2011.88235294118
